"box","lat","lon","mnasc","area","count","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","arean","part","latmin","lonmin","ea","nfish","nfish.i","nfish.m","mass","mass.i","mass.m","reg","old.area","old.arean","area.part"
710,67.625,-25.25,5.2,592.523360364252,7,67.5,67.5,67.75,67.75,-25.5,-25,-25,-25.5,172.752170429333,0.08,15,30,71.8649028986026,955820.079631652,544817.445390042,411002.63424161,12.7036517471715,4.97087613893556,7.73277560823599,3,592.523360364252,172.752170429333,1
712,67.625,-24.25,1388.70569948187,592.523360364256,193,67.5,67.5,67.75,67.75,-24.5,-24,-24,-24.5,172.752170429334,0.61,15,30,146340.173440578,1946358661.73282,1109424437.18771,836934224.545113,25868.741555705,10122.3107105542,15746.4308451509,3,592.523360364256,172.752170429334,1
663,67.375,-24.25,701.925543478261,598.77309726649,184,67.25,67.25,67.5,67.5,-24.5,-24,-24,-24.5,174.574302157288,1,15,30,122538.161919092,1326662777.97913,96656859.5384791,1230005918.44065,25927.4634305064,1029.4903157118,24897.9731147946,4,598.77309726649,174.574302157288,1
664,67.375,-23.75,139.861666666667,598.773097266486,300,67.25,67.25,67.5,67.5,-24,-23.5,-23.5,-24,174.574302157286,1,15,30,24416.2528568884,264343232.63595,19259292.6634763,245083939.972473,5166.15798003363,205.130348525497,4961.02763150813,4,598.773097266486,174.574302157286,1
665,67.375,-23.25,139.136021505376,598.773097266493,186,67.25,67.25,67.5,67.5,-23.5,-23,-23,-23.5,174.574302157289,0.84,15,30,20403.2420417638,220896260.748378,16093870.4259533,204802390.322425,4317.05767098812,171.415498340742,4145.64217264738,4,598.773097266493,174.574302157289,1
666,67.375,-22.75,1119.24663461538,598.773097266486,208,67.25,67.25,67.5,67.5,-23,-22.5,-22.5,-23,174.574302157286,0.81,15,30,158267.277145696,1713485025.99489,124839623.322485,1588645402.67241,33487.2743003135,1329.66438017203,32157.6099201415,4,598.773097266486,174.574302157286,1
667,67.375,-22.25,169.231034482759,598.77309726649,87,67.25,67.25,67.5,67.5,-22.5,-22,-22,-22.5,174.574302157288,0.8,15,30,23634.7117985468,255881856.887154,18642821.0017784,237239035.885376,5000.79417097821,198.564320944432,4802.22985003378,4,598.77309726649,174.574302157288,1
668,67.375,-21.75,13.1,598.77309726649,91,67.25,67.25,67.5,67.5,-22,-21.5,-21.5,-22,174.574302157288,0.77,15,30,1760.93098586056,19064767.7176175,1389004.5051407,17675763.2124768,372.589836704836,14.7942597488711,357.795576955965,4,598.77309726649,174.574302157288,1
669,67.375,-21.25,588.960330578512,598.773097266486,121,67.25,67.25,67.5,67.5,-21.5,-21,-21,-21.5,174.574302157286,0.85,15,30,87394.7379027083,946181531.948536,68936083.0419648,877245448.906572,18491.577117725,734.236868792064,17757.3402489329,4,598.773097266486,174.574302157286,1
670,67.375,-20.75,642.664090909091,598.773097266493,220,67.25,67.25,67.5,67.5,-21,-20.5,-20.5,-21,174.574302157289,0.99,15,30,111070.708840083,1202510082.03622,87611448.8340673,1114898633.20215,23501.1011798357,933.147823660105,22567.9533561756,4,598.773097266493,174.574302157289,1
